name,coordinates,open_time,close_time,spending_time,slug_category,average_rating
rotte-restaurant-in-shiraz,"[29.6341782, 52.5319098]",480,1440,60,food,4.142857142857143
balo-persian-cuisine-in-shiraz,"[29.6125637, 52.5396724]",510,1410,60,food,4.0
dragon-chinese-restaurant-in-shiraz,"[29.6280115, 52.5440523]",720,1650,60,food,3.5
pizza-110-in-shiraz,"[29.6187152, 52.5365769]",570,1440,60,food,3.272727272727273
palazzo-cafe-shiraz,"[29.629873, 52.5051367]",510,1440,60,food,3.6
baghe-raaz-restaurant-shiraz,"[29.6663082, 52.4800392]",480,1380,60,food,4.714285714285714
jamshidian-icecream-shiraz,"[29.6178659, 52.5454925]",420,1260,120,urban_attractions,4.666666666666667
zand-icecream-shiraz,"[29.6178812, 52.5456582]",540,1380,120,urban_attractions,4.333333333333333
fakhrabad-icecream-shiraz,"[29.6099695, 52.5265587]",510,1320,120,urban_attractions,4.571428571428571
hani-mani-icecream-shiraz,"[29.6252563, 52.5253338]",540,1410,120,urban_attractions,3.75
lemon-mint-icecream-shiraz,"[29.6422741, 52.4599836]",480,1500,120,urban_attractions,4.142857142857143
macklly-icecream-shiraz,"[29.6740668, 52.4616891]",660,1440,120,urban_attractions,4.428571428571429
laberit-italian-icecream-shiraz,"[29.6844616, 52.4694142]",540,1500,120,urban_attractions,4.555555555555555
baam-caffee-shop-in-shiraz,"[29.6385332, 52.5066388]",540,1380,60,food,3.3
baharan-restaurant-in-shiraz,"[29.6302863, 52.5213017]",660,1380,60,food,3.125
shater-abbas-restaurant-in-shiraz,"[29.6316443, 52.5363304]",690,1410,60,food,3.4444444444444446
pizza-naple-in-shiraz,"[29.6669044, 52.4920828]",720,1440,60,food,4.0
della-steakhouse-restaurant-in-shiraz,"[29.6292512, 52.5565218]",510,1410,60,food,4.444444444444445
kateh-mas-restaurant-in-shiraz,"[29.6139992, 52.5405808]",480,1380,60,food,2.973684210526316
entezari-shopping-mall-in-shiraz,"[29.632146, 52.5382612]",540,1320,180,shopping,3.0
asbe-sefid-equestrian-club-in-shiraz,"[29.7315212, 52.4633738]",600,1260,120,urban_attractions,4.2
kolbe-icecream-shiraz,"[29.616021, 52.5675788]",540,1320,120,urban_attractions,4.444444444444445
tooka-shopping-center-shiraz,"[29.5727931, 52.6150869]",510,1290,180,shopping,3.6666666666666665
hadish-shopping-center-shiraz,"[29.605905, 52.5405214]",480,1260,180,shopping,4.2
shab-neshin-barbecue-in-shiraz,"[29.6373276, 52.5434723]",720,1500,60,food,4.222222222222222
city-center-shopping-mall-in-shiraz,"[29.6182386, 52.5414101]",480,1080,180,shopping,3.142857142857143
dorsa-shopping-mall-in-shiraz,"[29.6219909, 52.5045781]",600,1320,180,shopping,4.0
shiraz-shopping-mall-in-shiraz,"[29.6215368, 52.5296349]",540,1320,180,shopping,3.2
mollasadra-shopping-mall-in-shiraz,"[29.629827, 52.5220325]",480,1380,180,shopping,3.857142857142857
abrisham-shopping-mall-in-shiraz,"[29.6064112, 52.5430306]",600,1320,180,shopping,3.625
isar-swimming-pool-shiraz,"[29.6116, 52.4690477]",480,1380,120,urban_attractions,2.25
pars-museum-shiraz,"[29.6159658, 52.5472321]",480,1080,120,urban_attractions,4.666666666666667
takht-e-jamshid-museum,"[29.935524, 52.891566]",480,1110,120,urban_attractions,4.764705882352941
delgosha-garden-shiraz,"[29.6193656, 52.5769625]",480,1080,120,urban_attractions,4.714285714285714
shapoori-house-shiraz,"[29.6189943, 52.5363589]",480,1440,120,urban_attractions,4.178571428571429
haft-tanan-rock-museum-shiraz,"[29.6289839, 52.562064]",450,1170,120,urban_attractions,4.631578947368421
shiraz-cinema-in-shiraz,"[29.6177824, 52.5311446]",900,1380,120,urban_attractions,3.5555555555555554
tar-o-pood-gallery-shiraz,"[29.6276136, 52.5566658]",480,1440,120,urban_attractions,4.461538461538462
iran-commercial-complex-shiraz,"[29.620323, 52.5215576]",480,1200,180,shopping,3.3333333333333335
ghazal-shopping-center-shiraz,"[29.5996732, 52.4866603]",480,1290,180,shopping,3.2
farjadian-mall-shiraz,"[29.6208912, 52.5368081]",540,1320,180,shopping,2.4
naderi-cafe-in-shiraz,"[29.6236067, 52.541091]",480,1320,60,food,4.0
shahre-ghaza-takeaway-in-shiraz,"[29.6218146, 52.5072021]",690,1380,60,food,2.7142857142857144
shiraz-karting-club,"[29.7626098, 52.4076042]",540,1415,120,urban_attractions,3.5454545454545454
oghab-horseclub-in-shiraz,"[29.5672777, 52.5816868]",480,1260,120,urban_attractions,3.727272727272727
iran-racquet-center-tennis-academyin-shiraz,"[29.624541, 51.4939886]",390,1380,120,urban_attractions,4.571428571428571
shad-zist-swimming-pool-in-shiraz,"[29.5941472, 52.5635096]",510,1380,120,urban_attractions,3.090909090909091
sanaye-swimming-pool-shiraz,"[29.7015688, 52.4571313]",540,1290,120,urban_attractions,3.6666666666666665
nemooneh-riding-club-shiraz,"[29.5536952, 52.548981]",510,1020,120,urban_attractions,4.285714285714286
iranian-shopping-center-shiraz,"[29.615875, 52.4748039]",480,1230,180,shopping,3.7777777777777777
pars-shopping-center-shiraz,"[29.6246238, 52.5182225]",540,1440,180,shopping,3.5714285714285716
eram-shopping-mall-shiraz,"[29.6339092, 52.5314868]",540,1410,180,shopping,4.5
cando-cafe-shiraz,"[29.6893757, 52.4735188]",1050,1410,60,food,4.545454545454546
dazho-cafe-restaurant-shiraz,"[29.6219022, 52.5423928]",600,1440,60,food,4.625
kamran-pastry-shiraz,"[29.6334288, 52.5221334]",450,1320,120,urban_attractions,4.166666666666667
meshkinfam-art-museum-in-shiraz,"[29.6133314, 52.5377284]",570,1110,120,urban_attractions,4.5
clothing-museum-in-shiraz,"[29.6102911, 52.5410615]",540,1020,120,urban_attractions,4.3076923076923075
forough-al-molk-historical-house-in-shiraz,"[29.6132359, 52.5379293]",570,1110,120,urban_attractions,4.434782608695652
cerrado-cafe-in-shiraz,"[29.627893, 52.507138]",510,1350,60,food,3.5
bal-cafe-in-shiraz,"[29.6253928, 52.5003593]",480,1380,60,food,4.1
marina-coffee-shop-in-shiraz,"[29.6851302, 52.4717404]",600,1380,60,food,4.0
fanoos-sorkh-coffee-shop-in-shiraz,"[29.6295492, 52.4825804]",660,1380,60,food,3.3333333333333335
shamdooni-cafe-in-shiraz,"[29.6347619, 52.4782703]",540,1410,60,food,4.0
