name,coordinates,open_time,close_time,spending_time,slug_category,average_rating,latitude,longitude
kowsar-sport-complex-in-shiraz,"[52.4576042, 29.648098]",420,1410,120,urban_attractions,3.5,52.4576042,29.648098
zeytoon-fars-shopping-center-in-shiraz,"[52.527878, 29.6194705]",540,1320,180,shopping,3.875,52.527878,29.6194705
commercial-complex-iran-in-shiraz,"[52.5223592, 29.620979]",480,1200,180,shopping,3.3333333333333335,52.5223592,29.620979
gando-amusement-park-in-shiraz,"[52.5276394, 29.6196075]",1080,1440,120,urban_attractions,3.1,52.5276394,29.6196075
simorgh-paintball-club-in-shiraz,"[52.4955523, 29.6519931]",540,1200,120,urban_attractions,4.142857142857143,52.4955523,29.6519931
chamran-paintball-club-in-shiraz,"[52.4956874, 29.6519421]",540,1200,120,urban_attractions,4.666666666666667,52.4956874,29.6519421
arash-horse-club-in-shiraz,"[52.4261003, 29.7413624]",540,1260,120,urban_attractions,3.8333333333333335,52.4261003,29.7413624
honar-shahr-aftab-cineplex-in-shiraz,"[52.4350297, 29.7571596]",920,1440,120,urban_attractions,4.538461538461538,52.4350297,29.7571596
iran-land-recreation-center-in-shiraz,"[52.4370565, 29.7572503]",1020,1440,120,urban_attractions,4.642857142857143,52.4370565,29.7572503
bein-ol-haramein-commercial-complex-in-mashhad,"[52.5418328, 29.607909]",540,1320,180,shopping,4.4,52.5418328,29.607909
yadegar-e-emam-swimming-pool-shiraz,"[52.4785744, 29.6150388]",660,1320,120,urban_attractions,4.2,52.4785744,29.6150388
enqelab-swimming-pool-shiraz,"[52.5119958, 29.635635]",540,1380,120,urban_attractions,4.5,52.5119958,29.635635
laser-tag-club-shiraz,"[52.4118652, 29.7535502]",660,1380,120,urban_attractions,4.6,52.4118652,29.7535502
razm-ahang-riding-club-shiraz,"[52.583749, 29.5925843]",480,1320,120,urban_attractions,4.333333333333333,52.583749,29.5925843
negin-fars-complex-shiraz,"[52.5058088, 29.581606]",420,1380,180,shopping,4.0,52.5058088,29.581606
persian-gulf-complex-shiraz,"[52.4339936, 29.7566354]",480,1200,180,shopping,4.25,52.4339936,29.7566354
goldasht-shopping-center-shiraz,"[52.4559671, 29.6858857]",540,1320,180,shopping,3.6,52.4559671,29.6858857
gandi-shopping-center-shiraz,"[52.4668108, 29.683648]",540,1320,180,shopping,3.0,52.4668108,29.683648
haji-bazaar-shiraz,"[52.5427515, 29.613022]",540,1260,180,shopping,3.5,52.5427515,29.613022
shar-shab-shopping-center-shiraz,"[52.5364316, 29.621086]",540,1320,180,shopping,4.166666666666667,52.5364316,29.621086
golestan-shopping-center-shiraz,"[52.5695073, 29.6166151]",600,1320,180,shopping,2.25,52.5695073,29.6166151
soltaniye-shopping-center-shiraz,"[52.4822068, 29.629607]",540,1320,180,shopping,3.5,52.4822068,29.629607
hamoon-complex-shiraz,"[52.5044268, 29.6228472]",540,1380,180,shopping,4.0,52.5044268,29.6228472
aftab-fars-shopping-center-shiraz,"[52.4717549, 29.6852413]",600,1320,180,shopping,3.8,52.4717549,29.6852413
amiran-kebab-and-halim-in-shiraz,"[52.4653552, 29.6823927]",480,1440,60,food,4.0,52.4653552,29.6823927
khosha-shiraz-restaurant,"[52.4385078, 29.734395]",720,1440,60,food,3.230769230769231,52.4385078,29.734395
vakil-traditional-restaurant-in-shiraz,"[52.5442362, 29.6140241]",690,1320,60,food,4.8,52.5442362,29.6140241
soofi-restaurant-in-shiraz,"[52.4951382, 29.631374]",690,1380,60,food,3.2142857142857144,52.4951382,29.631374
tawe-restaurant-in-shiraz,"[52.4965482, 29.6296833]",480,1440,60,food,4.4,52.4965482,29.6296833
shams-ol-emareh-restaurant-in-shiraz,"[52.5630233, 29.6380858]",660,1440,60,food,2.3636363636363638,52.5630233,29.6380858
bell-passi-restaurant-in-shiraz,"[52.53011, 29.6354666]",600,1380,60,food,4.166666666666667,52.53011,29.6354666
setareh-fars-shopping-center-in-shiraz,"[52.5058268, 29.6271172]",540,1380,180,shopping,4.111111111111111,52.5058268,29.6271172
sepehr-complex-in-shiraz,"[52.5029158, 29.6250896]",600,1380,180,shopping,4.0,52.5029158,29.6250896
anahita-shopping-center-in-shiraz,"[52.5177903, 29.6258319]",540,1320,180,shopping,3.75,52.5177903,29.6258319
aftab-shopping-center-in-shiraz,"[29.6833521, 29.6833521]",540,1380,180,shopping,4.5,29.6833521,29.6833521
elahieh-shopping-center-in-shiraz,"[52.4790729, 29.6313119]",600,1320,180,shopping,3.0,52.4790729,29.6313119
